#,"Country,other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
171,Papua New Guinea,540,,7 ,,527,,6,,60,0.8,"25,955","2,887","8,990,835 "
172,Taiwan,518,,7 ,,485,,26,,22,0.3,"94,734","3,976","23,828,244 "
173,Burundi,514,,1 ,,472,,41,,43,0.08,"37,522","3,132","11,980,524 "
174,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,166,421 "
175,Comoros,487,,7 ,,466,,14,,557,8,,,"874,369 "
176,Faeroe Islands,475,, ,,441,,34,,"9,711",,"134,070","2,741,045","48,912 "
177,Curaçao,462,,1 ,,242,,219,2,"2,812",6,"8,045","48,974","164,271 "
178,Gibraltar,432,, ,,363,,69,,"12,824",,"49,149","1,458,947","33,688 "
179,Saint Martin,412,,8 ,,309,,95,11,"10,608",206,"5,170","133,120","38,837 "
180,Eritrea,398,, ,,358,,40,,112,,,,"3,559,223 "
181,Mauritius,387,,10 ,,357,,20,,304,8,"253,248","199,043","1,272,330 "
182,Isle of Man,344,,24 ,,316,,4,,"4,040",282,"13,627","160,031","85,152 "
183,Mongolia,315,+1, ,,307,,8,1,96,,"74,445","22,614","3,292,006 "
184,Bhutan,299,+1, ,,248,+11,51,,386,,"144,498","186,730","773,835 "
185,Cambodia,280,, ,,276,+1,4,,17,,"145,448","8,668","16,779,316 "
186,Monaco,223,,2 ,,193,,28,1,"5,672",51,"51,953","1,321,455","39,315 "
187,Cayman Islands,213,,1 ,,210,,2,,"3,231",15,"40,092","608,155","65,924 "
188,Barbados,200,,7 ,,182,,11,,696,24,"24,849","86,441","287,469 "
189,Bermuda,181,,9 ,,170,,2,,"2,909",145,"67,860","1,090,716","62,216 "
190,Brunei ,146,,3 ,,142,,1,,333,7,"58,914","134,329","438,580 "
191,Seychelles,146,, ,,143,,3,,"1,482",,"5,200","52,788","98,508 "
192,Liechtenstein,127,,1 ,,116,,10,,"3,328",26,900,"23,587","38,157 "
193,Caribbean Netherlands,124,,1 ,,46,,77,,"4,717",38,"2,575","97,957","26,287 "
194,Antigua and Barbuda,107,,3 ,,96,,8,,"1,090",31,"2,958","30,140","98,142 "
195,British Virgin Islands,71,,1 ,,66,,4,2,"2,344",33,"4,841","159,853","30,284 "
196,St. Vincent Grenadines,64,, ,,64,,0,,576,,"5,386","48,508","111,034 "
197,St. Barth,62,, ,,37,,25,,"6,272",,"2,668","269,904","9,885 "
198,Macao,46,, ,,46,,0,,71,,"4,238","6,504","651,645 "
199,Fiji,32,,2 ,,28,,2,1,36,2,"10,385","11,563","898,158 "
200,Dominica,31,, ,,24,,7,,430,,"2,612","36,261","72,034 "
201,Timor-Leste,28,, ,,28,,0,,21,,"8,073","6,093","1,324,935 "
202,New Caledonia,27,, ,,27,,0,,94,,"14,585","50,957","286,219 "
203,Saint Lucia,27,, ,,27,,0,,147,,"8,439","45,902","183,849 "
204,Grenada,24,, ,,24,,0,,213,,"6,252","55,494","112,661 "
205,Laos,23,, ,,22,,1,,3,,"55,110","7,546","7,303,065 "
206,Saint Kitts and Nevis,19,, ,,17,,2,,356,,"2,455","46,062","53,298 "
207,Saint Pierre Miquelon,16,, ,,6,,10,,"2,765",,"1,967","339,959","5,786 "
208,Greenland,14,, ,,14,,0,,246,,"8,254","145,327","56,796 "
209,Montserrat,13,,1 ,,12,,0,,"2,604",200,483,"96,735","4,993 "
210,Falkland Islands,13,, ,,13,,0,,"3,708",,"2,261","644,894","3,506 "
211,Vatican City,12,, ,,12,,0,,"14,963",,,,802 
212,Western Sahara,10,,1 ,,8,,1,,17,2,,,"601,097 "
213,MS Zaandam,9,,2 ,,,,7,,,,,, 
214,Anguilla,3,, ,,3,,0,,199,,"1,020","67,828","15,038 "
215,Solomon Islands,1,, ,,,,1,,1,,,,"691,194 "
